"Decretos";"Localidade";"Ementa";"Url";"Estado";"Tipo";"Tipo_Documento";"Cod_UF";"Nome_Mesorregião";"Codigo_Municipio"
"Decreto Nº 32471 de 4 de junho de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/pdyah";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32465 de 2 de junho de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/alboy";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32461 de 1 de junho de 2020";"Salvador";"Prorroga medidas de prevenção e controle para enfrentamento do COVID-19 no âmbito do Município de Salvador, estabelece protocolos geral e setoriais para realização de atividades econômicas na forma que indica e dá outras providências.";"http://leismunicipa.is/moydf";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32464 de 1 de junho de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/aobly";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32460 de 1 de junho de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/peynb";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32459 de 29 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/adloy";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32453 de 28 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/gkoyj";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32451 de 28 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/ygkoj";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32443 de 28 de maio de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/yepdi";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32452 de 28 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/gkjoy";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
