"Decretos";"Localidade";"Ementa";"Url";"Estado";"Tipo";"Tipo_Documento";"Cod_UF";"Nome_Mesorregião";"Codigo_Municipio"
"Lei Ordinária Nº 9528 de 23 de maio de 2020";"Salvador";"Autoriza o Poder Executivo a antecipar feriados municipais na forma que indica.";"http://leismunicipa.is/ofbya";"Bahia";"Municipal";"Lei";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 1627 de 23 de maio de 2020";"Camaçari";"Dispõe sobre a antecipação das comemorações pela emancipação política do Município de Camaçari, a ocorrer no feriado de 28 de setembro, especificamente no ano de 2020, para o dia 27 de maio, como medida necessária ao enfrentamento da pandemia do COVID-19 e dá outras providências.";"http://leismunicipa.is/oymgf";"Bahia";"Municipal";"Lei";29;"Metropolitana de Salvador";2905701
"Decreto Nº 32431 de 23 de maio de 2020";"Bahia";"Dispõe sobre a antecipação de feriado municipal, observado o disposto na Lei 9.528, de 23 de maio de 2020, na forma que indica e dá outras providências.";"http://leisestaduais.com.br/ba/decreto-n-32431-2020-bahia-dispoe-sobre-a-antecipacao-de-feriado-municipal-observado-o-disposto-na-lei-9-528-de-23-de-maio-de-2020-na-forma-que-indica-e-da-outras-providencias";"Bahia";"Estadual";"Decreto";NA;NA;NA
"Lei Ordinária Nº 14267 de 23 de maio de 2020";"Bahia";"Altera as datas de celebração dos feriados de Dois de Julho e São João, na forma que indica.";"http://leisestaduais.com.br/ba/lei-ordinaria-n-14267-2020-bahia-altera-as-datas-de-celebracao-dos-feriados-de-dois-de-julho-e-sao-joao-na-forma-que-indica";"Bahia";"Estadual";"Lei";NA;NA;NA
"Decreto Nº 32433 de 22 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/dgyeo";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 7351 de 22 de maio de 2020";"Camaçari";"Prorroga os prazos de validade de todos os Alvarás de Saúde, expedidos pela Secretaria de Saúde do Município de Camaçari - SESAU.";"http://leismunicipa.is/oygmf";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2905701
"Decreto Nº 19722 de 22 de maio de 2020";"Bahia";"Governador estabelece medidas complementares de enfrentamento à Covid-19";"http://leisestaduais.com.br/ba/decreto-n-19722-2020-bahia-governador-estabelece-medidas-complementares-de-enfrentamento-a-covid-19";"Bahia";"Estadual";"Decreto";NA;NA;NA
"Decreto Nº 32428 de 20 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lknay";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32427 de 20 de maio de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/fbypi";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 9526 de 19 de maio de 2020";"Salvador";"Altera a Lei nº 9.296, de 1º de dezembro de";"http://leismunicipa.is/lygnb";"Bahia";"Municipal";"Lei";29;"Metropolitana de Salvador";2927408
