CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;POP_MUN
2912400;291240;IBIPEBA;Ibipeba;Centro-norte;Irecê;-42,18177;-11,570748;18211
2912509;291250;IBIPITANGA;Ibipitanga;Sudoeste;Brumado;-42,359693;-12,859347;14902
2912608;291260;IBIQUERA;Ibiquera;Centro-leste;Itaberaba;-40,884782;-12,603191;4044
2912707;291270;IBIRAPITANGA;Ibirapitanga;Sul;Itabuna;-39,435696;-14,060704;23375
2912806;291280;IBIRAPUÃ;Ibirapuã;Extremo sul;Teixeira de Freitas;-40,012795;-17,743014;8637
2912905;291290;IBIRATAIA;Ibirataia;Sul;Jequié;-39,626167;-13,975981;15312
2913002;291300;IBITIARA;Ibitiara;Centro-leste;Seabra;-42,282694;-12,575885;16339
2913101;291310;IBITITÁ;Ibititá;Centro-norte;Irecê;-41,915125;-11,579049;17113
2913200;291320;IBOTIRAMA;Ibotirama;Oeste;Ibotirama;-43,204764;-12,038551;26927
2913309;291330;ICHU;Ichu;Centro-leste;Feira de Santana;-39,152341;-11,731511;6206
2913408;291340;IGAPORÃ;Igaporã;Sudoeste;Guanambi;-42,704146;-13,863066;15640
2913457;291345;IGRAPIÚNA;Igrapiúna;Sul;Valença;-39,205528;-13,870951;13226
2913507;291350;IGUAÍ;Iguaí;Sudoeste;Itapetinga;-40,06587;-14,632365;26916
2913606;291360;ILHÉUS;Ilhéus;Sul;Ilhéus;-39,191802;-14,752743;162327
2913705;291370;INHAMBUPE;Inhambupe;Nordeste;Alagoinhas;-38,403839;-11,805114;39926
2913804;291380;IPECAETÁ;Ipecaetá;Centro-leste;Feira de Santana;-39,326986;-12,307419;14487
2913903;291390;IPIAÚ;Ipiaú;Sul;Jequié;-39,726505;-14,054873;45873
2914000;291400;IPIRÁ;Ipirá;Centro-leste;Feira de Santana;-39,777143;-12,211242;59595
2914109;291410;IPUPIARA;Ipupiara;Oeste;Ibotirama;-42,501843;-11,835873;9865
2914208;291420;IRAJUBA;Irajuba;Sul;Jequié;-40,052295;-13,230719;7260
2914307;291430;IRAMAIA;Iramaia;Sul;Jequié;-40,920822;-13,468639;8537
2914406;291440;IRAQUARA;Iraquara;Centro-leste;Seabra;-41,583095;-12,248341;25216
2914505;291450;IRARÁ;Irará;Centro-leste;Feira de Santana;-38,753895;-12,046429;29034
2914604;291460;IRECÊ;Irecê;Centro-norte;Irecê;-41,838969;-11,309449;72967
2914653;291465;ITABELA;Itabela;Extremo sul;Porto Seguro;-39,551337;-16,662903;30584
2914703;291470;ITABERABA;Itaberaba;Centro-leste;Itaberaba;-40,262264;-12,499097;64489
2914802;291480;ITABUNA;Itabuna;Sul;Itabuna;-39,312807;-14,851648;213223
2914901;291490;ITACARÉ;Itacaré;Sul;Ilhéus;-39,157795;-14,362094;28296
2915007;291500;ITAETÉ;Itaeté;Centro-leste;Itaberaba;-41,040418;-13,091757;16056
2915106;291510;ITAGI;Itagi;Sul;Jequié;-40,024851;-14,162264;12351
