CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;POP_MUN
2927804;292780;SANTA CRUZ DA VITÓRIA;Santa Cruz da Vitória;Sul;Itabuna;-39,814773;-14,891688;6315
2927903;292790;SANTA INÊS;Santa Inês;Sul;Jequié;-39,848806;-13,284706;10631
2928000;292800;SANTALUZ;Santaluz;Centro-leste;Serrinha;-39,485235;-11,220236;37348
2928059;292805;SANTA LUZIA;Santa Luzia;Sul;Ilhéus;-39,244959;-15,448212;12597
2928109;292810;SANTA MARIA DA VITÓRIA;Santa Maria da Vitória;Oeste;Santa Maria da Vitória;-44,379979;-13,21835;39845
2928208;292820;SANTANA;Santana;Oeste;Santa Maria da Vitória;-43,942383;-13,065657;26614
2928307;292830;SANTANÓPOLIS;Santanópolis;Centro-leste;Feira de Santana;-38,862259;-11,975172;8943
2928406;292840;SANTA RITA DE CÁSSIA;Santa Rita de Cássia;Oeste;Barreiras;-44,555833;-11,007987;28338
2928505;292850;SANTA TERESINHA;Santa Teresinha;Leste;Santo Antônio de Jesus;-39,571741;-12,734162;10405
2928604;292860;SANTO AMARO;Santo Amaro;Leste;Salvador;-38,763265;-12,56572;60069
2928703;292870;SANTO ANTÔNIO DE JESUS;Santo Antônio de Jesus;Leste;Santo Antônio de Jesus;-39,226621;-13,008297;101512
2928802;292880;SANTO ESTÊVÃO;Santo Estêvão;Centro-leste;Feira de Santana;-39,269012;-12,468336;52850
2928901;292890;SÃO DESIDÉRIO;São Desidério;Oeste;Barreiras;-45,490189;-12,804393;33742
2928950;292895;SÃO DOMINGOS;São Domingos;Centro-leste;Serrinha;-39,580388;-11,454355;9058
2929008;292900;SÃO FÉLIX;São Félix;Leste;Cruz das Almas;-38,999026;-12,675042;14740
2929057;292905;SÃO FÉLIX DO CORIBE;São Félix do Coribe;Leste;Santa Maria da Vitória;-44,029673;-13,551946;15391
2929107;292910;SÃO FELIPE;São Felipe;Oeste;Santo Antônio de Jesus;-39,094662;-12,845312;21074
2929206;292920;SÃO FRANCISCO DO CONDE;São Francisco do Conde;Leste;Salvador;-38,632045;-12,650808;39802
2929255;292925;SÃO GABRIEL;São Gabriel;Centro-norte;Irecê;-41,698253;-11,066448;18793
2929305;292930;SÃO GONÇALO DOS CAMPOS;São Gonçalo dos Campos;Centro-leste;Feira de Santana;-38,941374;-12,417177;37550
2929354;292935;SÃO JOSÉ DA VITÓRIA;São José da Vitória;Sul;Itabuna;-39,353795;-15,073448;5657
2929370;292937;SÃO JOSÉ DO JACUÍPE;São José do Jacuípe;Centro-norte;Jacobina;-39,910341;-11,440049;10462
2929404;292940;SÃO MIGUEL DAS MATAS;São Miguel das Matas;Leste;Santo Antônio de Jesus;-39,42337;-13,054075;11675
2929503;292950;SÃO SEBASTIÃO DO PASSÉ;São Sebastião do Passé;Leste;Salvador;-38,498164;-12,517206;44300
2929602;292960;SAPEAÇU;Sapeaçu;Leste;Cruz das Almas;-39,212869;-12,725894;17398
2929701;292970;SÁTIRO DIAS;Sátiro Dias;Nordeste;Alagoinhas;-38,588847;-11,565622;17273
2929750;292975;SAUBARA;Saubara;Leste;Salvador;-38,769328;-12,775374;12043
2929800;292980;SAÚDE;Saúde;Centro-norte;Jacobina;-40,381343;-10,912534;12913
2929909;292990;SEABRA;Seabra;Centro-leste;Seabra;-41,884755;-12,417698;44091
2930006;293000;SEBASTIÃO LARANJEIRAS;Sebastião Laranjeiras;Sudoeste;Guanambi;-43,127285;-14,573409;11434
2930105;293010;SENHOR DO BONFIM;Senhor do Bonfim;Norte;Senhor do Bonfim;-40,115243;-10,484163;79015
2930154;293015;SERRA DO RAMALHO;Serra do Ramalho;Oeste;Santa Maria da Vitória;-43,676195;-13,484295;31472
2930204;293020;SENTO SÉ;Sento Sé;Norte;Juazeiro;-41,638028;-10,101683;40684
2930303;293030;SERRA DOURADA;Serra Dourada;Oeste;Santa Maria da Vitória;-43,797591;-12,806269;17386
2930402;293040;SERRA PRETA;Serra Preta;Centro-leste;Feira de Santana;-39,378587;-12,095383;14878
2930501;293050;SERRINHA;Serrinha;Centro-leste;Serrinha;-38,99379;-11,665667;80861
2930600;293060;SERROLÂNDIA;Serrolândia;Centro-norte;Jacobina;-40,260883;-11,429022;13397
2930709;293070;SIMÕES FILHO;Simões Filho;Leste;Camaçari;-38,400778;-12,768072;134377
2930758;293075;SÍTIO DO MATO;Sítio do Mato;Oeste;Santa Maria da Vitória;-43,474997;-12,855222;13012
2930766;293076;SÍTIO DO QUINTO;Sítio do Quinto;Nordeste;Ribeira do Pombal;-38,156417;-10,328224;9986
2930774;293077;SOBRADINHO;Sobradinho;Norte;Juazeiro;-40,863997;-9,645748;23191
2930808;293080;SOUTO SOARES;Souto Soares;Centro-leste;Seabra;-41,789614;-12,02762;16979
2930907;293090;TABOCAS DO BREJO VELHO;Tabocas do Brejo Velho;Oeste;Barreiras;-44,155648;-12,479855;12518
2931004;293100;TANHAÇU;Tanhaçu;Sudoeste;Brumado;-41,195412;-14,145964;20403
2931053;293105;TANQUE NOVO;Tanque Novo;Sudoeste;Guanambi;-42,537536;-13,556042;17366
2931103;293110;TANQUINHO;Tanquinho;Centro-leste;Feira de Santana;-39,094255;-11,95834;7918
2931202;293120;TAPEROÁ;Taperoá;Sul;Valença;-39,227909;-13,572671;21074
2931301;293130;TAPIRAMUTÁ;Tapiramutá;Centro-norte;Jacobina;-40,791362;-11,87617;17010
2931350;293135;TEIXEIRA DE FREITAS;Teixeira de Freitas;Extremo sul;Teixeira de Freitas;-39,786881;-17,424098;160487
2931400;293140;TEODORO SAMPAIO;Teodoro Sampaio;Centro-leste;Feira de Santana;-38,615125;-12,267302;7425
2931509;293150;TEOFILÂNDIA;Teofilândia;Centro-leste;Serrinha;-38,950989;-11,470751;22518
2931608;293160;TEOLÂNDIA;Teolândia;Sul;Valença;-39,497486;-13,554404;14943
2931707;293170;TERRA NOVA;Terra Nova;Centro-leste;Feira de Santana;-38,599769;-12,396818;13033
2931806;293180;TREMEDAL;Tremedal;Sudoeste;Vitória da Conquista;-41,471966;-15,05356;16394
2931905;293190;TUCANO;Tucano;Centro-leste;Serrinha;-38,811942;-11,033334;50687
2932002;293200;UAUÁ;Uauá;Norte;Juazeiro;-39,464074;-9,905838;24240
2932101;293210;UBAÍRA;Ubaíra;Leste;Santo Antônio de Jesus;-39,67932;-13,275977;19895
2932200;293220;UBAITABA;Ubaitaba;Sul;Itabuna;-39,421811;-14,267538;19056
2932309;293230;UBATÃ;Ubatã;Sul;Itabuna;-39,521853;-14,096416;27035
2932408;293240;UIBAÍ;Uibaí;Centro-norte;Irecê;-42,103988;-11,379928;13887
2932457;293245;UMBURANAS;Umburanas;Centro-norte;Jacobina;-41,246863;-10,575849;19222
2932507;293250;UNA;Una;Sul;Ilhéus;-39,151395;-15,219145;19002
2932606;293260;URANDI;Urandi;Sudoeste;Guanambi;-42,684008;-14,736562;16658
2932705;293270;URUÇUCA;Uruçuca;Sul;Ilhéus;-39,231581;-14,527408;20519
2932804;293280;UTINGA;Utinga;Centro-leste;Itaberaba;-41,068969;-12,052173;19178
2932903;293290;VALENÇA;Valença;Sul;Valença;-39,193921;-13,347412;96562
2933000;293300;VALENTE;Valente;Centro-leste;Serrinha;-39,449693;-11,376754;28473
2933059;293305;VÁRZEA DA ROÇA;Várzea da Roça;Centro-norte;Jacobina;-40,066703;-11,598455;14104
2933109;293310;VÁRZEA DO POÇO;Várzea do Poço;Centro-norte;Jacobina;-40,315682;-11,541103;9170
2933158;293315;VÁRZEA NOVA;Várzea Nova;Centro-norte;Jacobina;-41,019918;-11,123051;12697
2933174;293317;VARZEDO;Varzedo;Leste;Santo Antônio de Jesus;-39,391754;-12,956569;8838
2933208;293320;VERA CRUZ;Vera Cruz;Leste;Salvador;-38,695724;-13,006682;43223
2933257;293325;VEREDA;Vereda;Extremo sul;Teixeira de Freitas;-39,96014;-17,189142;6205
2933307;293330;VITÓRIA DA CONQUISTA;Vitória da Conquista;Sudoeste;Vitória da Conquista;-40,902081;-14,974801;338480
2933406;293340;WAGNER;Wagner;Centro-leste;Itaberaba;-41,145974;-12,231382;9345
2933455;293345;WANDERLEY;Wanderley;Oeste;Barreiras;-43,906735;-11,808922;12238
2933505;293350;WENCESLAU GUIMARÃES;Wenceslau Guimarães;Sul;Valença;-39,619219;-13,628543;21101
2933604;293360;XIQUE-XIQUE;Xique-Xique;Centro-norte;Irecê;-42,780133;-10,984262;46483
9999989;999998;OUTROS ESTADOS;;;;NA;NA;NA
9999999;999999;MUNICIPIOS NOVOS COM LPI DIFERENTE DA RESIDÊNCIA*;;;;NA;NA;NA
